"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E.x";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"MH_E.y";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201412;9030901;9;3;9;1;2;1075;549;526;18;120;153;48;82;526;72;46;10;1075;141;465;224;62;113;218;36;118;63;434;232;202;0;0;21;9;45;291;27;34;7;12317;6138;6179;91;619;990;309;729;5577;1680;1811;511
201412;9030902;9;3;9;2;2;616;308;308;15;58;89;32;34;288;70;24;6;616;36;271;166;28;172;29;20;78;18;283;152;131;3;19;21;6;15;173;34;9;3;5827;2836;2991;66;318;542;180;453;2553;768;678;269
201412;9030903;9;3;9;3;2;933;437;496;6;69;149;51;60;423;104;59;12;933;48;231;140;48;452;62;28;50;62;255;111;144;3;6;25;9;26;159;12;15;0;7800;3878;3922;88;449;798;281;525;3755;867;852;185
201412;9031001;9;3;10;1;2;862;457;405;15;63;108;33;77;460;67;36;3;862;115;449;237;25;103;72;31;142;40;464;268;196;3;15;18;12;49;316;30;21;0;12240;6048;6192;91;525;856;344;709;5176;1763;2183;593
201412;9031101;9;3;11;1;2;437;233;204;15;38;56;12;56;217;28;15;0;437;59;160;47;102;86;10;22;54;3;301;161;140;6;22;27;9;49;160;19;9;0;5649;2736;2913;50;200;332;98;268;2314;738;1219;430
201412;9031201;9;3;12;1;2;111;62;49;0;6;24;3;6;48;24;0;0;111;22;50;22;9;18;0;0;34;0;47;26;21;0;0;3;0;6;32;6;0;0;1764;875;889;7;72;125;31;70;641;302;411;105
201412;9031202;9;3;12;2;2;152;68;84;0;15;16;0;3;87;19;12;0;152;22;49;24;3;54;0;10;36;0;92;43;49;0;3;0;0;3;68;9;9;0;2351;1160;1191;18;106;169;72;102;979;359;434;112
201412;9041301;9;4;13;1;2;528;250;278;9;46;82;18;48;225;58;30;12;528;59;256;98;6;99;12;18;119;18;234;102;132;3;6;15;3;27;143;22;9;6;13933;6653;7280;73;409;740;246;613;4823;2291;3591;1147
201412;9041302;9;4;13;2;2;110;46;64;3;13;15;0;0;49;21;9;0;110;27;54;15;0;20;6;0;30;0;43;18;25;0;0;0;0;0;31;6;6;0;1792;874;918;18;81;135;27;74;719;291;338;109
201412;9041401;9;4;14;1;2;517;271;246;9;53;80;18;87;216;32;15;7;517;17;66;21;199;85;9;55;95;8;403;226;177;3;41;55;12;77;189;17;6;3;4845;2207;2638;37;177;299;75;241;1375;530;1663;448
201412;9041402;9;4;14;2;2;123;62;61;3;3;21;10;6;52;22;6;0;123;6;22;10;0;86;3;6;3;3;37;18;19;0;3;3;0;3;25;0;3;0;1480;726;754;18;64;105;37;61;611;214;273;97
201412;9041501;9;4;15;1;2;718;389;329;20;63;105;18;63;376;36;28;9;718;82;268;97;20;164;28;58;134;46;348;187;161;10;16;18;3;32;239;18;9;3;7173;3491;3682;92;433;592;151;441;3561;831;737;335
201412;9041601;9;4;16;1;2;293;150;143;3;25;42;16;6;158;31;6;6;293;12;124;58;0;70;9;12;66;12;124;70;54;0;0;6;3;6;91;12;6;0;6522;3287;3235;30;242;452;160;271;2740;1096;1239;292
201412;9051701;9;5;17;1;2;127;69;58;0;12;12;3;12;66;9;13;0;127;25;64;18;3;21;3;3;27;6;72;42;30;0;3;0;0;9;45;9;6;0;3522;1628;1894;31;132;174;62;154;1285;441;814;429
201412;9051702;9;5;17;2;2;666;296;370;13;74;116;9;31;334;50;24;15;666;153;346;119;24;92;17;12;155;20;343;153;190;3;6;19;0;21;238;35;15;6;14383;6607;7776;127;671;1084;272;471;5662;1607;3095;1394
201412;9051801;9;5;18;1;2;512;250;262;7;55;80;18;27;258;46;18;3;512;99;251;90;9;113;15;6;106;12;239;121;118;0;3;12;3;24;157;25;15;0;9041;4465;4576;49;352;698;235;347;3562;1411;1799;588
201412;9051901;9;5;19;1;2;638;292;346;15;52;60;12;53;360;50;18;18;638;97;285;113;24;148;33;15;118;15;334;155;179;6;9;3;0;40;240;24;9;3;10075;4804;5271;111;480;571;144;558;4721;1175;1549;766
201412;9052001;9;5;20;1;2;529;261;268;13;58;85;34;37;253;31;12;6;529;75;245;83;9;95;9;34;110;27;258;129;129;0;9;18;16;28;165;13;6;3;12300;5766;6534;73;418;757;236;522;4658;1580;2809;1247
